Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
005250,KR7005250006,녹십자홀딩스,KOSPI,,15000,2,-250,-1.64,15200,15230,14950,15489,232624380,705423150000,47028210,STK
200130,KR7200130003,콜마비앤에이치,KOSDAQ GLOBAL,우량기업부,23700,2,-800,-3.27,24150,24350,23550,23254,552881550,700182324600,29543558,KSQ
402030,KR7402030001,코난테크놀로지,KOSDAQ,기술성장기업부,122400,2,-4000,-3.16,124500,128200,122000,78107,9771280600,695286345600,5680444,KSQ
064960,KR7064960008,SNT모티브,KOSPI,,47350,2,-1050,-2.17,48700,48900,46900,3831,181872450,692405489600,14623136,STK
294090,KR7294090006,이오플로우,KOSDAQ,기술성장기업부,22700,2,-2600,-10.28,25300,25300,21900,594263,13739996400,689223733300,30362279,KSQ
108860,KR7108860008,셀바스AI,KOSDAQ,벤처기업부,30600,2,-950,-3.01,31500,31500,30450,611733,18927502200,688813956000,22510260,KSQ
010050,KR7010050003,우리종금,KOSPI,,784,2,-14,-1.75,798,799,775,142416,111528079,685375470304,874203406,STK
034120,KR7034120006,SBS,KOSPI,,37100,2,-1850,-4.75,38500,38800,36650,30788,1152310150,677170792200,18252582,STK
192650,KR7192650000,드림텍,KOSPI,,10010,2,-170,-1.67,10240,10250,9960,55855,563065950,675133559100,67445910,STK
039200,KR7039200001,오스코텍,KOSDAQ,벤처기업부,18310,2,-460,-2.45,18400,18770,18240,34170,626811980,672762700410,36742911,KSQ
086450,KR7086450004,동국제약,KOSDAQ GLOBAL,우량기업부,15060,2,-480,-3.09,15420,15420,15040,24306,368752380,669567600000,44460000,KSQ
001680,KR7001680008,대상,KOSPI,,19290,2,-240,-1.23,19500,19530,19260,11115,214642950,668360402250,34648025,STK
144510,KR7144510005,지씨셀,KOSDAQ,우량기업부,41950,2,-1250,-2.89,42800,42950,41850,15531,655652700,662824430800,15800344,KSQ
178320,KR7178320008,서진시스템,KOSDAQ,우량기업부,17540,2,-560,-3.09,18010,18050,17470,132044,2332250630,659164460680,37580642,KSQ
105630,KR7105630008,한세실업,KOSPI,,16470,2,-410,-2.43,16640,16880,16400,25360,418968420,658800000000,40000000,STK
101490,KR7101490001,에스앤에스텍,KOSDAQ,우량기업부,30650,1,50,0.16,31850,32350,30000,192345,5966774650,657486850550,21451447,KSQ
298040,KR7298040007,효성중공업,KOSPI,,70100,2,-1800,-2.5,72200,72300,69900,11344,802670600,653650814800,9324548,STK
000070,KR7000070003,삼양홀딩스,KOSPI,,76100,2,-1800,-2.31,77200,77400,76100,919,70411000,651741023100,8564271,STK
205470,KR7205470008,휴마시스,KOSDAQ,우량기업부,19200,2,-150,-0.78,18770,19750,18650,934537,17981278870,651078432000,33910335,KSQ
082640,KR7082640004,동양생명,KOSPI,,4025,2,-80,-1.95,4055,4060,4010,15279,61531610,649468304625,161358585,STK
383800,KR7383800000,LX홀딩스,KOSPI,,8510,2,-80,-0.93,8590,8590,8490,17158,146286980,649148671900,76280690,STK
299900,KR7299900001,위지윅스튜디오,KOSDAQ,중견기업부,15160,2,-540,-3.44,15700,15700,15140,76713,1175066540,648275270360,42762221,KSQ
053800,KR7053800009,안랩,KOSDAQ,우량기업부,64600,2,-500,-0.77,64400,65600,64400,26497,1719783900,646895033000,10013855,KSQ
003540,KR7003540002,대신증권,KOSPI,,12720,2,-140,-1.09,12860,12860,12650,13597,172403170,645837648000,50773400,STK
287410,KR7287410005,제이시스메디칼,KOSDAQ,벤처기업부,8610,2,-50,-0.58,8660,8700,8510,73161,629696480,638341559940,74139554,KSQ
377740,KR7377740006,바이오노트,KOSPI,,6260,2,-320,-4.86,6500,6530,6230,132708,845041280,637744060480,101876048,STK
222080,KR7222080004,씨아이에스,KOSDAQ,중견기업부,10300,2,-350,-3.29,10560,10650,10280,233812,2429067970,637022163600,61846812,KSQ
036540,KR7036540003,SFA반도체,KOSDAQ,우량기업부,3865,2,-155,-3.86,3955,3970,3855,242777,947248355,635639071095,164460303,KSQ
403550,KR7403550007,쏘카,KOSPI,,18830,2,-510,-2.64,19150,19190,18800,12323,233705790,616818113660,32757202,STK
950210,KR8702070002,프레스티지바이오파마,KOSPI,,10240,2,-250,-2.38,10400,10490,10200,14840,152770200,615384627200,60096155,STK
119860,KR7119860005,커넥트웨이브,KOSDAQ,우량기업부,12690,2,-510,-3.86,13200,13200,12660,39479,505832610,611568814680,48192972,KSQ
344820,KR7344820006,KCC글라스,KOSPI,,38100,2,-650,-1.68,39050,39100,37950,3217,122781250,608476507200,15970512,STK
020000,KR7020000006,한섬,KOSPI,,24700,2,-350,-1.4,25250,25300,24550,5657,140676600,608361000000,24630000,STK
085370,KR7085370005,루트로닉,KOSDAQ,중견기업부,23000,2,-850,-3.56,23850,23850,22900,95651,2219152650,607854718000,26428466,KSQ
006110,KR7006110001,삼아알미늄,KOSPI,,41250,1,450,1.1,41250,41750,40800,131062,5419068550,606866535000,14711916,STK
323990,KR7323990002,박셀바이오,KOSDAQ,기술성장기업부,39650,1,1900,5.03,37300,40150,37300,632346,24616174000,603591950000,15223000,KSQ
