Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
189300,KR7189300007,인텔리안테크,KOSDAQ,우량기업부,86500,1,4900,6.0,82300,87300,81800,243203,20833012100,794387368500,9183669,KSQ
034120,KR7034120006,SBS,KOSPI,,43450,1,1950,4.7,41700,44550,41250,260448,11367653050,793074687900,18252582,STK
402030,KR7402030001,코난테크놀로지,KOSDAQ,기술성장기업부,139100,2,-700,-0.5,136500,140900,130900,331574,45359225800,790149760400,5680444,KSQ
085660,KR7085660009,차바이오텍,KOSDAQ,벤처기업부,13940,2,-230,-1.62,14220,14260,13850,305874,4273119820,784380352920,56268318,KSQ
200130,KR7200130003,콜마비앤에이치,KOSDAQ GLOBAL,우량기업부,26450,2,-150,-0.56,26600,26650,26150,71077,1873576250,781427109100,29543558,KSQ
005880,KR7005880000,대한해운,KOSPI,,2410,2,-40,-1.63,2455,2480,2390,930546,2238855465,769217678600,319177460,STK
004490,KR7004490009,세방전지,KOSPI,,54400,1,1700,3.23,53300,54900,52700,128173,6938375400,761600000000,14000000,STK
214450,KR7214450009,파마리서치,KOSDAQ GLOBAL,우량기업부,75200,2,-1500,-1.96,77000,77700,75000,74375,5643007000,760417136000,10111930,KSQ
377740,KR7377740006,바이오노트,KOSPI,,7440,2,-220,-2.87,7660,7690,7410,235743,1765055230,757957797120,101876048,STK
052020,KR7052020005,에스티큐브,KOSDAQ,중견기업부,17000,2,-560,-3.19,17600,17890,16820,662035,11401042140,756714047000,44512591,KSQ
166090,KR7166090001,하나머티리얼즈,KOSDAQ GLOBAL,우량기업부,38250,1,2250,6.25,36550,38250,35900,234590,8692380250,755539780500,19752674,KSQ
030190,KR7030190003,NICE평가정보,KOSDAQ GLOBAL,우량기업부,12400,2,-60,-0.48,12450,12510,12270,95767,1183821520,752863768000,60714820,KSQ
053800,KR7053800009,안랩,KOSDAQ,우량기업부,75100,1,2900,4.02,73000,75700,73000,261295,19508273400,752040510500,10013855,KSQ
005250,KR7005250006,녹십자홀딩스,KOSPI,,15760,2,-20,-0.13,15820,15830,15650,48973,770815670,741164589600,47028210,STK
002350,KR7002350007,넥센타이어,KOSPI,,7560,1,60,0.8,7570,7720,7390,143621,1085913750,738369150120,97667877,STK
064960,KR7064960008,SNT모티브,KOSPI,,49900,2,-200,-0.4,50100,50400,47500,39333,1960483450,729694486400,14623136,STK
101490,KR7101490001,에스앤에스텍,KOSDAQ,우량기업부,34000,3,0,0.0,34350,34350,32750,528371,17791731300,729349198000,21451447,KSQ
299900,KR7299900001,위지윅스튜디오,KOSDAQ,중견기업부,17050,2,-20,-0.12,17110,17300,16870,322887,5500698060,729095868050,42762221,KSQ
268280,KR7268280005,미원에스씨,KOSPI,,142300,2,-1000,-0.7,143300,143300,141700,1198,171049100,725730000000,5100000,STK
007340,KR7007340003,DN오토모티브,KOSPI,,72600,2,-200,-0.27,73100,73900,71800,46666,3395250300,725564763000,9994005,STK
095500,KR7095500005,미래나노텍,KOSDAQ,우량기업부,23350,2,-400,-1.68,23800,24150,23150,2161867,50864916550,724083476650,31009999,KSQ
192650,KR7192650000,드림텍,KOSPI,,10650,1,300,2.9,10450,10720,10160,673912,7054214850,718298941500,67445910,STK
222080,KR7222080004,씨아이에스,KOSDAQ,중견기업부,11570,1,430,3.86,11470,11990,11110,5992325,68917932810,715567614840,61846812,KSQ
010050,KR7010050003,우리종금,KOSPI,,814,2,-2,-0.25,816,820,805,835400,678891403,711601572484,874203406,STK
178320,KR7178320008,서진시스템,KOSDAQ,우량기업부,18850,1,730,4.03,18200,18850,18130,1225197,22635476130,708395101700,37580642,KSQ
005440,KR7005440003,현대그린푸드,KOSPI,,7250,0,0,0.0,0,0,0,0,0,708357494500,97704482,STK
086450,KR7086450004,동국제약,KOSDAQ GLOBAL,우량기업부,15870,2,-40,-0.25,15990,15990,15770,66345,1052951300,705580200000,44460000,KSQ
082640,KR7082640004,동양생명,KOSPI,,4360,2,-40,-0.91,4390,4395,4315,98599,428543130,703523430600,161358585,STK
298040,KR7298040007,효성중공업,KOSPI,,75300,2,-2500,-3.21,77800,78200,74900,111511,8461815200,702138464400,9324548,STK
036540,KR7036540003,SFA반도체,KOSDAQ,우량기업부,4265,1,100,2.4,4180,4270,4160,980337,4137209425,701423192295,164460303,KSQ
403550,KR7403550007,쏘카,KOSPI,,21300,2,-200,-0.93,21500,21600,20000,91988,1940265750,697642137600,32753152,STK
144510,KR7144510005,지씨셀,KOSDAQ,우량기업부,44150,2,-150,-0.34,44900,44900,43800,45950,2029175200,697585187600,15800344,KSQ
000070,KR7000070003,삼양홀딩스,KOSPI,,81000,2,-400,-0.49,81400,81600,79500,31500,2538277500,693705951000,8564271,STK
006220,KR7006220008,제주은행,KOSPI,,21500,2,-200,-0.92,21450,22200,21350,677734,14702946500,690768641000,32128774,STK
001680,KR7001680008,대상,KOSPI,,19840,1,120,0.61,19720,20000,19720,93404,1857741340,687416816000,34648025,STK
294870,KR7294870001,HDC현대산업개발,KOSPI,,10430,2,-30,-0.29,10460,10500,10350,168674,1765611770,687413451900,65907330,STK
287410,KR7287410005,제이시스메디칼,KOSDAQ,벤처기업부,9170,2,-390,-4.08,9640,9650,9080,1567715,14569966530,679859710180,74139554,KSQ
091810,KR7091810002,티웨이항공,KOSPI,,3495,1,210,6.39,3300,3500,3245,3776070,12911885485,679477880640,194414272,STK
119860,KR7119860005,커넥트웨이브,KOSDAQ,우량기업부,14010,2,-90,-0.64,14170,14170,13900,71807,1007297180,675183537720,48192972,KSQ
105630,KR7105630008,한세실업,KOSPI,,16790,1,120,0.72,16670,17000,16670,237740,4014667000,671600000000,40000000,STK
284740,KR7284740008,쿠쿠홈시스,KOSPI,,29650,2,-300,-1.0,30000,30200,29500,18774,561713600,665266834500,22437330,STK
107600,KR7107600009,새빗켐,KOSDAQ,벤처기업부,136500,1,2600,1.94,137300,137300,130300,425415,57049091100,663600892500,4861545,KSQ
003540,KR7003540002,대신증권,KOSPI,,13040,2,-90,-0.69,13140,13150,13020,27659,361131430,662085136000,50773400,STK
108860,KR7108860008,셀바스AI,KOSDAQ,벤처기업부,29150,1,1050,3.74,27600,30150,26600,4833914,138816108350,656174079000,22510260,KSQ
039200,KR7039200001,오스코텍,KOSDAQ,벤처기업부,17780,2,-320,-1.77,18100,18130,17670,164214,2932566690,653288957580,36742911,KSQ
383800,KR7383800000,LX홀딩스,KOSPI,,8560,1,10,0.12,8590,8600,8520,119052,1017762700,652962706400,76280690,STK
344820,KR7344820006,KCC글라스,KOSPI,,40850,2,-550,-1.33,41600,41600,40500,29376,1199203600,652395415200,15970512,STK
